800	菜	哈尔施塔特	Gasthaus zur Mühle	['窑烤披萨', '烤肋排']	Pizza-3007395.jpg
801	菜	哈尔施塔特	Gasthof Zauner Seewirt	['烤鳟鱼', '鹿肉炖菜']	Grilled_trout,_Restaurant_Trofta,_Istog,_2025.jpg
802	菜	下龙湾	Chả Mực Thoan（下龙一号市场门口）	['手打鱿鱼饼chả mực', '白糯米饭xôi trắng']	Chả_mực.jpg
803	菜	下龙湾	下龙一号市场海鲜排档（Chợ Hạ Long 1）	['碳烤生蚝葱油', '皮皮虾bề bề']	Grilled_oysters_20171001.jpg
804	菜	下龙湾	游船上的落日烹饪课晚宴	['自己卷的炸春卷nem rán', '船家鱼露蘸汁']	Cha_gio.jpg
805	菜	河内	Phở Gia Truyền Bát Đàn	['生牛肉粉phở tái', '熟牛腩粉phở chín']	Bowl_of_Meatball_pho.jpg
806	菜	河内	Bánh Mì 25	['烤肉bánh mì', '素食bánh mì']	Bánh_mì_thịt_nướng.png
807	菜	河内	Bún Chả Hương Liên	['烤肉米线bún chả', '海蟹春卷nem cua bể']	Bún_chả_Vietnamese_food.jpg
808	菜	河内	Cà Phê Giảng	['蛋咖啡cà phê trứng']	Cà_phê_trứng.jpg
809	菜	河内	Chả Cá Thăng Long	['炭烧鱼锅chả cá', '虾酱蘸料mắm tôm']	Chả_cá_Lã_Vọng_Hà_Nội.jpg
810	菜	哈瓦那	Doña Eutimia	['手撕牛肉ropa vieja', '冰沙mojito frappé']	Cubanfood.jpg
811	菜	哈瓦那	El Floridita	['原版Daiquiri', '海鲜开胃盘']	Classic_Daiquiri_in_Cocktail_Glass.jpg
812	菜	夏威夷	Giovanni's Shrimp Truck	['蒜香黄油虾饭scampi', '辣虾hot & spicy']	Butter_Garlic_Shrimp_(with_rice),_Haleiwa,_Hawaii.jpg
813	菜	夏威夷	Marukame Udon（威基基店）	['明太子釜玉乌冬', '现炸天妇罗']	Kakeudon.jpg
814	菜	夏威夷	Leonard's Bakery	['原味malasada', 'haupia椰奶馅malasada']	Hugeassmalassada.jpg
815	菜	夏威夷	Ono Seafood	['酱油ahi poke碗', '辣味poke']	Shoyu_and_onion_poke.jpg
816	菜	夏威夷	Duke's Waikiki	['hula pie冰淇淋派', '烤鱼配椰香饭']	Lahaina_Lunch_-_Hula_Pie.jpg
817	菜	香港	合益泰小食（深水埗）	['布拉肠粉', '鱼蛋']	A_Steam_White_Rice_Noodle_Rolls_from_KC_Chinese_Restaurant.jpg
818	菜	香港	利强记北角鸡蛋仔	['原味鸡蛋仔']	Egg_waffle_-_sarah_stierch.jpg
819	菜	香港	澳洲牛奶公司（佐敦）	['炒蛋多士', '炖奶']	Scrambled_egg_on_toast_-_Loro's_Cafe_2025-08-13.jpg
820	菜	香港	沾仔记（中环）	['招牌云吞面', '鲮鱼球']	HK_Sai_Ying_Pun_Centre_Street_雲吞_Wonton_noodle_July-2012.JPG
821	菜	香港	九记牛腩（上环）	['清汤牛腩', '咖喱牛筋腩伊面']	Beef_brisket_rice_noodle_牛腩粉_(3356674856).jpg
822	菜	香港	添好运（深水埗）	['酥皮焗叉烧包', '香滑马拉糕']	Char_siu_bao.jpg
823	菜	冰岛冰洞	N1加油站（Freysnes/史卡夫塔山旁）	['冰岛热狗（pylsa）', '汉堡']	Njbrkfast.jpg
824	菜	冰岛冰洞	Hafnarbúðin（赫本港口小店）	['龙虾三明治（海螯虾包）', '薯条']	Lobster_Roll.png
